,ISBN:,Título:,Autor(es):,Ilustrador(es):,Tradutor(es),Editora:,Data de edição:,Palavras-chave:,Idade:,Nível de Leitura:,Tema:,Formato:,Língua:,Ano PNL
1,978-989-644-448-8,"Outras Mentes - O Polvo, o Mar e a Origem da Consciência","Godfrey-Smith, P.",n. d.,"Garcia Rosado, P.",N/R,2017/5/1,Mente; Consciência; Evolução,15-18 anos;Maiores de 18 anos,Leitura autónoma,Ciências e Tecnologias;Cultura e Sociedade,Livro,Português,2018
2,9789896168117,Poções e paixões,"André, João Paulo",não há,não há,N/R,2018/3/14,"música, química, ópera",15-18 anos;Maiores de 18 anos,Leitura autónoma,Artes;Ciências e Tecnologias;Cultura e Sociedade,Livro,Português,2018
3,978-989-644-434-1,"Nós, os Micróbios e uma Visão ALargada da Vida","Young, E.",n. d.,"Santos, J.L.",N/R,2017/3/1,Micróbios; Microbioma; Simbiose,15-18 anos;Maiores de 18 anos,Leitura autónoma,Ciências e Tecnologias;Cultura e Sociedade,Livro,Português,2018
4,9789896417529,Preparação para a Noite,"Rocha, Jaime",N/R,N/R,N/R,2017/7/3,Poesia; estilo; individualidade; coerência.,N/R,Leitura autónoma,Poesia,N/R,N/R,2018
5,9789722361569,"Os Contos de Beedle, o Bardo","Rowling, J.K.",S/ ilustrar.,s/ indic.,N/R,2018/1/1,feitiçaria; Harry Potter,9-11 anos,Leitura autónoma,Literatura,Livro,Português,2018
6,978-989-644-445-7,Um Dia na Vida do Cérebro,"Greenfield, S.",n. d.,"Santos, L. O.",N/R,2017/4/1,Consciência; Cérebro; Redes Neuronais,15-18 anos;Maiores de 18 anos,Leitura autónoma,Ciências e Tecnologias;Cultura e Sociedade,Livro,Português,2018
7,9789899965881,A Guerra,"Letria, J. J.","Letria, A.",S/tr.,N/R,2018/04/24,Guerra; sociedade; História.,9-11 anos;12-14 anos,Leitura mediana;Leitura autónoma,Artes;Cultura e Sociedade;Literatura,Livro,Português,2018
8,9789898688507,Poesia II Sonetos Completos,"Quental, Antero de",N/R,N/R,N/R,2018/1/2,Antero. Poesia. Sonetos. Cânone.,N/R,Leitura autónoma,Literatura,N/R,N/R,2018
9,978-989-8688-40-8,Poesia I: Odes Modernas Primaveras Româticas,"Quental, Antero de",N/R,N/R,N/R,2017/12/4,Poesia. Antero. Cânone.,N/R,Leitura autónoma,Poesia,N/R,N/R,2018
10,978-989-8688-45-3,Odes Olímpicas,Píndaro,"Faria, Alberto","Caeiro, António de Castro",N/R,2017/4/3,Poesia. Grécia. Píndaro. Tradução.,N/R,Leitura autónoma,Literatura,N/R,N/R,2018
