,ISBN,Título,Autor,Ilustrador,Tradutor,Data de edição,Editora,Idade02,Idade02.1,Nível de leitura01,Nível de leitura02,Temas01,Temas02,Temas03,Formato01,Formato02,Línguas01,Línguas02
0,9727567991,Fábulas do mundo,"Basílio, Joana Rosa, adapt.",,,2012,Girassol,3-5 anos,,Pré-leitura,,Literatura,,,Livro álbum,,Português,
1,5603486239268,Mais um jogo!,,,,2015,YoYo Books,0-2 anos,,Pré-leitura,,Cultura e Sociedade,,,Livro álbum,,Português,
2,5603486239282,Onde está o ursinho?,,,,2015,YoYo Books,0-2 anos,,Pré-leitura,,Literatura,,,Livro álbum,,Português,
3,5605860000112,O velho que lia romances de amor Audiolivro,"Sepúlveda, Luis",,"Tamen, Pedro",2008,MHIJ - Editores,maiores de 18 anos,,Leitura fluente,,Literatura,,,Audiolivro,,Português,
4,9780230016194,Little mouse's big book of fears,"Gravett, Emily","Gravett, Emily ",,2008,Macmillan,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Literatura,,,,,Inglês,
5,9780230735088,Live and let die ,"Flemming, Ian ; Escott, John, adapt. ",,,2010,Macmillan,15-18 anos,maiores de 18 anos,Leitura fluente,,Literatura,,,Livro com CD e/ou DVD,,Inglês,
6,9780859538459,Nursery rhymes,"Moerbeek, Kees",,,2000,Key4Kids,3-5 anos,,Pré-leitura,Leitura inicial,Poesia,,,Outros,,Inglês,
7,9781405057233,Amazing volcanoes : the legend of Batok Volcano,"Palin, Cheryl ",La Factoria Iluminada,,2005,Macmillan,9-11 anos,,Leitura mediana,,Ciências e Tecnologia,,,,,Inglês,
8,9781408288399,The wind in the willows,"Grahame, Kenneth ; Williams, Melanie, adapt","Godbey, Cory",,2014,Pearson,9-11 anos,,Leitura mediana,,Literatura,,,,,Inglês,
9,9781447954323,The presidents of Mount Rushmore,"Beddall, Fiona, adapt.",,,2014,Pearson,12-14 anos,9-11 anos,Leitura fluente,,Literatura,,,Livro com CD e/ou DVD,,Inglês,
10,9781447954323,The presidents of Mount Rushmore,"Beddall, Fiona, adapt.",,,2014,Pearson,9-11 anos,12-14 anos,Leitura mediana,,Cultura e Sociedade,,,,,Inglês,
11,9781509841264,Blue Chameleon,"Gravett, Emily ","Gravett, Emily ",,2018,Pan Macmillan,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Literatura,,,,,Inglês,
12,9781846432439,Jungle,"Moerbeek, Kees",,,2009,Key4Kids,3-5 anos,6-8 anos,Pré-leitura,Leitura inicial,Literatura,,,Outros,,Inglês,
13,9789722217798,A ilha do tesouro,"Stevenson, Robert Louis ; Soares, Maria Isabel Mendonça, adapt.","Reed, Neil","Soares, Maria Isabel Mendonça",1997,Verbo,12-14 anos,,Leitura fluente,,Literatura,,,,,Português,
14,9789723811377,A volta ao mundo em oitenta dias,"Verne, Júlio",,"Costa, J. Lima da",1989,Livros do Brasil,12-14 anos,,Leitura fluente,,Literatura,,,,,Português,
15,9789724800400,Contos,"Queirós, Eça de",,,1981,Lello Editores,12-14 anos,,Leitura fluente,,Literatura,,,,,Português,
16,9789895149629,O menino que não queria crescer,"Almada, Maria Clementina","Muñoz, Diogo",,2015,Chiado Editora,9-11 anos,,Leitura mediana,,Literatura,,,,,Português,
17,9789895507580,Cucuuuu com sons! Meeé! Meeé!,"Sirett, Dawn",,"Junqueira, Manuela",2007,Civilização,0-2 anos,,Pré-leitura,,Ciências e Tecnologia,,,Livro álbum,,Português,
18,9789896350574,As crias,"Carreiro, Pepe","Carreiro, Pepe",,2008,MEL Editores,0-2 anos,,Pré-leitura,,Ciências e Tecnologia,,,Livro álbum,,Português,
19,9789896350598,As lojas,"Carreiro, Pepe","Carreiro, Pepe",,2008,MEL Editores,0-2 anos,,Pré-leitura,,Vida Prática,,,Livro álbum,,Português,
20,9789898027184,O principezinho : audiolivro,"Saint Exupery, Antoine de ; Granger, Pedro, voz",,"Varela, Joana Morais",2010,MHIJ - Editores,12-14 anos,,Leitura fluente,,Literatura,,,Livro com CD e/ou DVD,Audiolivro,Português,
21,0-439-76827-6,If kids ruled the school More kids' favorire funny school poems,"Lansky, Bruce, sel.","Carpenter, Stephen",,2005,Scholastic,12-14 anos,,Leitura fluente,,Poesia,,,,,Inglês,
22,0-582-41776-7,The diary of a young girl : Anne Frank,"Anne Frank ; Gilchrist, Cherry, adapt.",,,1999,Pearson,12-14 anos,,Leitura fluente,,Literatura,,,,,Inglês,
23,0-582-41776-7,The diary of a young girl : Anne Frank,"Anne Frank ; Gilchrist, Cherry , adapt.",,,1999,Pearson,15-18 anos,maiores de 18 anos,Leitura fluente,,Literatura,,,,,Inglês,
24,0-582-42688-X,Oliver Twist,"Dickens, Charles ; Tempest, Deborah, adapt.",,,2001,Pearson,12-14 anos,,Leitura fluente,,Literatura,,,,,Inglês,
25,0-582-42688-X,Oliver Twist,"Dickens, Charles ; Tempest, Deborah, adapt. ",,,2001,Pearson,15-18 anos,maiores de 18 anos,Leitura fluente,,Literatura,,,,,Inglês,
26,0-582-43468-8,The pearl,"Steinbeck, John ;McElwain, Gregory, adapt. ",,,2001,Pearson,15-18 anos,maiores de 18 anos,Leitura fluente,,Literatura,,,,,Inglês,
27,0-582-45618-5,Charlie and the chocolate factory,"Dahl, Roald ; Laidlaw, Caroline, adapt.","Blake, Quentin ",,2001,Pearson Education,9-11 anos,,Leitura mediana,,Literatura,,,,,Inglês,
28,0-582-77731-3,1984,"Orwell, George ; Dean, Mike, adapt.",,,2003,Pearson,12-14 anos,,Leitura fluente,,Literatura,,,,,Inglês,
29,0-582-77731-3,1984,"Orwell, George ; Dean, Mike, adapt. ",,,2003,Pearson,15-18 anos,maiores de 18 anos,Leitura fluente,,Literatura,,,,,Inglês,
30,0521-00693-7,Walking in the jungle,"Brown, Richard and Ruttle, KateBrown ","Voce, Stella",,2001,Cambridge University Press,6-8 anos,,Leitura inicial,,Literatura,,,,,Inglês,
31,1-405-07684-4,Officially dead,"Prescott, Richard",,,2005,Macmillan,15-18 anos,maiores de 18 anos,Leitura fluente,,Literatura,,,Livro com CD e/ou DVD,,Inglês,
32,1-405-08060-4,Goldfinger With 3 Audio CD,"Fleming, Ian ; Collins, Anne, adapt. ",,,2005,Macmillan,15-18 anos,maiores de 18 anos,Leitura fluente,,Literatura,,,Livro com CD e/ou DVD,,Inglês,
33,1-4050-2511-5,The Planets School trip to the moon,"Michaels, Jade ","Léon, Miguél de",,2005,Macmillan,9-11 anos,,Leitura mediana,,Literatura,,,,,Inglês,
34,1-4050-6890-6,New year's Eve,"Palin, Cheryl","Lock, David",,2005,Macmillan,9-11 anos,,Leitura mediana,,Cultura e Sociedade,,,,,Inglês,
35,2-215-064-21-8,Dicionário por imagens do espaço,"Beaumont, Émilie ; Pimont, Marie Renée (Ilustr. S.Alloy et al.) (Trad. Luísa Rodrigues)","Alloy, S.... [et al.]","Boléo, Maria do Rosário",2005,Centralivros,3-5 anos,,Pré-leitura,Leitura inicial,Ciências e Tecnologia,,,Livro álbum,,Português,
36,84-8130-496-4,Siddhartha : um poema indiano,"Hesse, Hermann ; Mesquita, Teresa, transc. Braille ; Andrade, Paulo, rev.",,,,Colecção Mil Folhas ; Santa Casa da Misericórdia-Porto. Centro Prof. Albuquerque e Castro-Edições Braille,maiores de 18 anos,,Leitura fluente,,Literatura,,,Livro em Braille,,Português,
