Artista,Alive,Marés Vivas,Primavera Sound,Paredes de Coura,Rock In Rio,Sudoeste,Super Bock Super Rock,Total Concertos
Rui Vargas & André Cascais,0.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0
Mary B,0.0,0.0,0.0,0.0,1.0,2.0,4.0,7.0
Moullinex,1.0,0.0,1.0,2.0,1.0,0.0,2.0,7.0
The Vaccines,0.0,0.0,0.0,3.0,0.0,1.0,3.0,7.0
Richie Campbell,0.0,2.0,0.0,0.0,0.0,5.0,0.0,7.0
Steve Aoki,3.0,0.0,0.0,0.0,1.0,3.0,0.0,7.0
The Legendary Tigerman,2.0,0.0,0.0,2.0,0.0,0.0,3.0,7.0
The National,1.0,0.0,1.0,1.0,0.0,2.0,2.0,7.0
DJ Ride,1.0,1.0,0.0,0.0,1.0,4.0,1.0,8.0
Throes + The Shine,3.0,1.0,0.0,1.0,0.0,1.0,2.0,8.0
PAUS,4.0,0.0,1.0,2.0,0.0,0.0,1.0,8.0
We Trust,2.0,2.0,1.0,2.0,0.0,0.0,1.0,8.0
Shellac,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0
Xutos & Pontapés,1.0,2.0,0.0,0.0,5.0,1.0,0.0,9.0
Linda Martini,4.0,0.0,2.0,3.0,1.0,0.0,0.0,10.0
Orelha Negra,2.0,1.0,0.0,2.0,1.0,6.0,1.0,13.0
Capitão Fausto,2.0,1.0,0.0,3.0,3.0,0.0,4.0,13.0
