Festival,Ano,Dia,Artista,Palco,Tipo de Palco,Nacionalidade
Alive,2009,09/07,Air Traffic,Palco Super Bock,Secundário,
Alive,2009,09/07,Crystal Castles,Palco Super Bock,Secundário,
Alive,2009,09/07,Delphic,Palco Super Bock,Secundário,
Alive,2009,09/07,DJ Erol Alkan,Palco Super Bock,Secundário,
Alive,2009,09/07,Klaxons,Palco Super Bock,Secundário,
Alive,2009,09/07,Lamb of God,Palco Optimus,Principal,
Alive,2009,09/07,Machine Head,Palco Optimus,Principal,
Alive,2009,09/07,Mastodon,Palco Optimus,Principal,
Alive,2009,09/07,Mazgani,Palco Optimus Discos,Secundário,
Alive,2009,09/07,Metallica,Palco Optimus,Principal,
Alive,2009,09/07,Os Golpes,Palco Super Bock,Secundário,
Alive,2009,09/07,Ramp,Palco Optimus,Principal,
Alive,2009,09/07,Silversun Pickups,Palco Super Bock,Secundário,
Alive,2009,09/07,Slipknot,Palco Optimus,Principal,
Alive,2009,09/07,The Bombazines,Palco Optimus Discos,Secundário,
Alive,2009,09/07,The Vicious Five,Palco Optimus Discos,Secundário,
Alive,2009,09/07,Tiguana Bibles,Palco Optimus Discos,Secundário,
Alive,2009,09/07,TV On The Radio,Palco Super Bock,Secundário,
Alive,2009,10/07,Bezegol,Palco Optimus Discos,Secundário,PT
Alive,2009,10/07,Blasted Mechanism,Palco Optimus,Principal,
Alive,2009,10/07,Coldfinger,Palco Optimus Discos,Secundário,
Alive,2009,10/07,DJ Ride,Palco Optimus Discos,Secundário,
Alive,2009,10/07,"Does it Offend You, Yeah?",Palco Super Bock,Secundário,
Alive,2009,10/07,Eagles of Death Metal,Palco Optimus,Principal,
Alive,2009,10/07,Fischerspooner,Palco Super Bock,Secundário,
Alive,2009,10/07,Hadouken!,Palco Super Bock,Secundário,
Alive,2009,10/07,John is Gone,Palco Super Bock,Secundário,
Alive,2009,10/07,Late of the Pier,Palco Super Bock,Secundário,
Alive,2009,10/07,Os Pontos Negros,Palco Optimus,Principal,PT
Alive,2009,10/07,Placebo,Palco Optimus,Principal,
Alive,2009,10/07,The Gaslight Anthem,Palco Super Bock,Secundário,
Alive,2009,10/07,The Kooks,Palco Optimus,Principal,
Alive,2009,10/07,The Prodigy,Palco Optimus,Principal,
Alive,2009,10/07,The Ting Tings,Palco Super Bock,Secundário,
Alive,2009,10/07,Youthless,Palco Optimus Discos,Secundário,
Alive,2009,10/07,Zombie Nation,Palco Super Bock,Secundário,
Alive,2009,11/07,A Silent Film,Palco Super Bock,Secundário,
Alive,2009,11/07,Autokratz,Palco Super Bock,Secundário,
Alive,2009,11/07,Ayo,Palco Optimus,Principal,
Alive,2009,11/07,Boss AC,Palco Optimus,Principal,
Alive,2009,11/07,Chris Cornell,Palco Optimus,Principal,
Alive,2009,11/07,Dave Matthews Band,Palco Optimus,Principal,
Alive,2009,11/07,Deadmau5,Palco Super Bock,Secundário,
Alive,2009,11/07,Ghostland Observatory,Palco Super Bock,Secundário,
Alive,2009,11/07,Linda Martini,Palco Optimus Discos,Secundário,
Alive,2009,11/07,Los Campesinos!,Palco Super Bock,Secundário,
Alive,2009,11/07,Lykke Li,Palco Super Bock,Secundário,
Alive,2009,11/07,Madame Godard,Palco Optimus Discos,Secundário,
Alive,2009,11/07,Olive Tree Dance,Palco Optimus Discos,Secundário,
Alive,2009,11/07,The Black Eyed Peas,Palco Optimus,Principal,
Alive,2009,11/07,The Pragmatic,Palco Optimus Discos,Secundário,
