,Unnamed: 0,Festival,Ano,Dia,Artista,Palco,Tipo de Palco,Género,Nacionalidade,Comentários
316,1,NOS Primavera Sounds,2014,7/6,!!!,Palco NOS,Principal,B – M,,
67,9,Alive,2013,13/07,2manydjs,Palco Optimus,Principal,B – M,,
562,7,Rock In Rio,2010,22/5,2manydjs,Palco Mundo,Principal,B – M,,
655,8,Sudoeste,2010,04/08,2manydjs,Palco tmn,Principal,B – M,,
35,11,Alive,2011,08/07,30 Seconds to Mars,Palco Optimus,Principal,B – M,,
207,12,Marés Vivas,2013,20/07,30 Seconds to Mars,,Principal,B – M,,
856,13,Sudoeste,2019,08/08,6lack ,Palco Meo,Principal,B – M,,
182,16,Marés Vivas,2010,16/07,A Silent Film,Palco tmn,Principal,B – M,,
360,27,NOS Primavera Sounds,2018,8/6,A$ap Rocky,Palco NOS,Principal,M,,
791,28,Sudoeste,2015,09/08,Above & Beyond,Palco Meo,Principal,M,,
831,38,Sudoeste,2017,05/08,Afrojack,Palco Meo,Principal,M,,
702,37,Sudoeste,2012,01/08,Afrojack,Palco TMN,Principal,M,,
248,43,Marés Vivas,2017,14/07,Agir,Palco Meo,Principal,M,PT,
115,44,Alive,2016,09/07,Agir,Palco NOS,Principal,M,PT,
643,40,Rock In Rio,2018,24/06,Agir,Palco Mundo,Principal,M,PT,
336,45,NOS Primavera Sounds,2016,11/6,Air,Palco NOS,Principal,B – M,,
674,46,Sudoeste,2010,08/08,Air,Palco tmn,Principal,B – M,,
935,52,Super Bock Super Rock,2014,19/07,Albert Hammond Jr.,Palco Super Bock,Principal,B – M,,
372,55,NOS Primavera Sounds,2019,7/6,Aldous Harding,Palco NOS,Principal,B – M,,
764,58,Sudoeste,2014,09/08,Alesso,Palco Meo,Principal,B – M,,
729,57,Sudoeste,2013,07/08,Alesso,Palco MEO,Principal,B – M,,
553,69,Paredes de Coura,2019,17/08,Alice Phoebe Lou,Palco Vodafone FM,Principal,B – M,,
145,68,Alive,2018,14/07,Alice in Chains,Palco NOS,Principal,B – M,,
17,67,Alive,2010,08/07,Alice in Chains,Palco Optimus,Principal,B – M,,
459,70,Paredes de Coura,2015,21/08,Allah-Las,Palco Vodafone,Principal,B – M,,
909,73,Super Bock Super Rock,2012,07/07,Aloe Blacc,Palco Super Bock,Principal,B – M,,
120,78,Alive,2017,06/07,Alt-J,Palco NOS,Principal,B – M,,
91,77,Alive,2015,09/07,Alt-J,Palco NOS,Principal,B – M,,
535,81,Paredes de Coura,2019,15/08,Alvvways,Palco Vodafone,Principal,B – M,,
252,85,Marés Vivas,2017,15/07,Amor Electro,Palco Meo,Principal,B – F,PT,
571,87,Rock In Rio,2010,29/5,Amy Macdonald,Palco Mundo,Principal,F,,
231,94,Marés Vivas,2015,18/07,Ana Moura,Palco Meo,Principal,F,PT,
914,97,Super Bock Super Rock,2013,18/07,Anarchicks,Palco Super Bock,Principal,B – F,,
974,99,Super Bock Super Rock,2018,20/07,Anderson .Paak & The Free Nationals,Palco Super Bock,Principal,F,,
352,107,NOS Primavera Sounds,2017,9/6,Angel Olsen,Palco NOS,Principal,F,,
340,109,NOS Primavera Sounds,2016,9/6,Animal Collective,Palco NOS,Principal,B – M,,
852,111,Sudoeste,2019,07/08,Anitta,Palco Meo,Principal,F,,
644,110,Rock In Rio,2018,24/06,Anitta,Palco Mundo,Principal,F,,
424,112,Paredes de Coura,2012,16/08,Anna Calvi,Palco EDP,Principal,F,,
786,115,Sudoeste,2015,08/08,Anselmo Ralph,Palco Meo,Principal,M,,
746,114,Sudoeste,2013,11/08,Anselmo Ralph,Palco MEO,Principal,M,,
324,121,NOS Primavera Sounds,2015,5/6,Antony and the Johnsons,Palco NOS,Principal,B – M,,
344,122,NOS Primavera Sounds,2017,10/6,Aphex Twin,Palco NOS,Principal,M,,
832,126,Sudoeste,2017,05/08,April Ivy,Palco Meo,Principal,F,,
889,131,Super Bock Super Rock,2011,15/07,Arcade Fire,Palco Super bock,Principal,B – M,,
525,130,Paredes de Coura,2018,18/08,Arcade Fire,Palco Vodafone,Principal,B – M,,
619,129,Rock In Rio,2014,31/05,Arcade Fire,Palco Mundo,Principal,B – M,,
116,132,Alive,2016,09/07,Arcade Fire,Palco NOS,Principal,B – M,,
